DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-06-10,22.8,24.401707,4.5879097,21.307209,27.496204,16.855267,31.948147
1950-06-11,22.2,23.930498,4.574702,20.84491,27.016087,16.405785,31.455212
1950-06-12,16.7,22.90453,4.187904,20.079832,25.729227,16.01604,29.793018
1950-06-13,18.3,22.508982,3.9836414,19.822056,25.195908,15.956474,29.06149
1950-06-14,17.2,19.893084,3.350507,17.633202,22.152966,14.38199,25.404177
1950-06-15,16.7,20.224268,3.486061,17.872955,22.57558,14.490208,25.958328
1950-06-16,20.0,20.643433,3.4314969,18.328922,22.957943,14.999123,26.287743
1950-06-17,22.2,19.713593,3.363633,17.444857,21.982328,14.180908,25.246277
1950-06-18,22.8,22.052055,3.8610706,19.447803,24.656307,15.7011595,28.40295
1950-06-19,18.3,22.913061,4.133962,20.124746,25.701376,16.113298,29.712824
1950-06-20,18.3,23.096172,4.166507,20.285906,25.906439,16.242878,29.949467
1950-06-21,18.9,20.718115,3.3684475,18.44613,22.990099,15.177511,26.258718
1950-06-22,20.0,20.300095,3.4422781,17.978313,22.621876,14.638051,25.96214
1950-06-23,22.8,20.6766,3.526188,18.298222,23.054977,14.876537,26.476662
1950-06-24,22.8,21.62744,3.7205462,19.11797,24.13691,15.507686,27.747192
1950-06-25,22.8,22.822718,3.908639,20.18638,25.459055,16.39358,29.251856
1950-06-26,23.9,22.880726,3.957955,20.211126,25.550325,16.37047,29.390982
1950-06-27,25.0,22.53273,3.9116397,19.89437,25.171091,16.098656,28.966805
1950-06-28,22.8,22.98877,4.0298285,20.27069,25.706848,16.36029,29.617249
1950-06-29,22.2,24.1176,4.2671223,21.23947,26.99573,17.098808,31.13639
1950-06-30,23.9,23.063532,4.0268064,20.347492,25.779572,16.440025,29.687038
1950-07-01,15.0,22.942436,3.9134521,20.302853,25.58202,16.50538,29.379492
1950-07-02,16.1,23.826801,4.183939,21.004778,26.648825,16.944834,30.708769
1950-07-03,17.2,19.567347,3.066023,17.499346,21.635347,14.524187,24.610506
1950-07-04,18.9,19.900698,3.1106076,17.802624,21.998772,14.784204,25.017193
1950-07-05,23.9,21.004353,3.2795835,18.792307,23.216398,15.609919,26.398787
1950-07-06,24.4,20.831673,3.2028105,18.67141,22.991936,15.563519,26.099827
1950-07-07,27.2,23.53762,3.981348,20.852242,26.223,16.988886,30.086355
1950-07-08,20.6,23.366304,3.9642792,20.692438,26.04017,16.845646,29.886963
1950-07-09,21.1,25.480928,4.3512836,22.546032,28.415825,18.323704,32.638153
1950-07-10,21.1,22.499998,3.4814355,20.151806,24.84819,16.773546,28.22645
1950-07-11,22.2,22.560658,3.6683939,20.086363,25.034952,16.526688,28.594627
1950-07-12,21.1,22.31659,3.6476717,19.856272,24.776907,16.316704,28.316475
1950-07-13,19.4,22.811628,3.7726321,20.267027,25.35623,16.606201,29.017056
1950-07-14,20.0,21.884655,3.5309303,19.503078,24.266232,16.076792,27.692518
1950-07-15,20.0,21.453943,3.3151224,19.217928,23.689959,16.001053,26.906834
1950-07-16,21.1,21.039068,3.2995021,18.813587,23.26455,15.61187,26.466267
1950-07-17,24.4,21.552492,3.3536775,19.29047,23.814514,16.036184,27.0688
1950-07-18,23.3,22.047243,3.4574594,19.715221,24.379265,16.36023,27.734257
1950-07-19,22.8,23.795954,3.8813252,21.17804,26.413868,17.411743,30.180164
1950-07-20,20.6,23.203873,3.7155862,20.697748,25.709997,17.092278,29.315468
1950-07-21,21.1,23.252993,3.7443163,20.72749,25.778496,17.094141,29.411844
1950-07-22,21.7,22.608702,3.5145113,20.2382,24.979204,16.827845,28.389559
1950-07-23,18.3,21.945494,3.29751,19.721357,24.16963,16.521572,27.369415
1950-07-24,21.7,21.982542,3.4363873,19.664734,24.30035,16.330189,27.634895
1950-07-25,22.8,20.972895,3.1332831,18.859528,23.086262,15.819103,26.126686
1950-07-26,23.9,22.153637,3.408973,19.85432,24.452953,16.546375,27.760899
1950-07-27,22.8,24.029524,3.7107549,21.526657,26.53239,17.925875,30.133173
1950-07-28,23.9,23.226223,3.697069,20.732588,25.719858,17.145086,29.30736
1950-07-29,23.3,22.714146,3.6410098,20.258322,25.16997,16.725218,28.703074
1950-07-30,20.6,23.817068,3.8540814,21.21753,26.416607,17.477669,30.156467
1950-07-31,17.2,22.916393,3.6655324,20.444029,25.388758,16.887129,28.945658
1950-08-01,20.6,22.053328,3.3569813,19.789078,24.317577,16.531586,27.57507
1950-08-02,23.9,20.849398,3.0566993,18.787685,22.91111,15.821575,25.87722
1950-08-03,23.9,21.670343,3.22306,19.496422,23.844265,16.368881,26.971806
