DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-05-05,12.2,14.517753,2.9702077,12.514378,16.521128,9.632196,19.403309
1950-05-06,11.7,14.587654,3.0240097,12.547991,16.627317,9.613601,19.561707
1950-05-07,18.3,14.046374,2.9106593,12.083164,16.009584,9.258766,18.833982
1950-05-08,21.7,14.211342,2.7613363,12.348848,16.073835,9.669348,18.753336
1950-05-09,21.1,17.472712,3.513179,15.103108,19.842316,11.694046,23.251377
1950-05-10,22.2,18.966654,3.991054,16.274729,21.658579,12.401955,25.531353
1950-05-11,20.0,18.04965,3.9002023,15.4190035,20.680296,11.634388,24.464912
1950-05-12,12.2,18.616192,4.04045,15.890949,21.341434,11.970243,25.26214
1950-05-13,11.7,17.655767,3.8804753,15.038426,20.273108,11.272953,24.038582
1950-05-14,10.6,14.442794,3.004695,12.416158,16.469429,9.500511,19.385077
1950-05-15,12.2,14.065498,2.8095708,12.170471,15.9605255,9.444166,18.68683
1950-05-16,15.0,14.448675,2.8484542,12.527422,16.369928,9.763385,19.133965
1950-05-17,15.6,15.146135,3.0340476,13.099701,17.19257,10.155571,20.1367
1950-05-18,16.1,16.692951,3.3831975,14.411019,18.974884,11.128086,22.257816
1950-05-19,19.4,16.700142,3.5754611,14.28853,19.111753,10.819032,22.581253
1950-05-20,18.9,16.376682,3.207475,14.213273,18.54009,11.100856,21.652508
1950-05-21,20.6,18.35046,3.511806,15.981783,20.719137,12.574053,24.126867
1950-05-22,11.1,17.673595,3.386686,15.389311,19.95788,12.102993,23.244198
1950-05-23,10.0,19.141264,3.9166005,16.499557,21.78297,12.69903,25.583498
1950-05-24,13.9,14.473846,2.81123,12.577701,16.369991,9.849785,19.097908
1950-05-25,14.4,14.690083,2.8177547,12.7895355,16.59063,10.055288,19.324877
1950-05-26,17.8,15.559954,2.8338764,13.648533,17.471375,10.898642,20.221266
1950-05-27,18.3,16.231796,3.016662,14.197088,18.266504,11.269829,21.193764
1950-05-28,22.8,17.561861,3.1798222,15.417104,19.70662,12.331519,22.792202
1950-05-29,22.2,18.390673,3.6281493,15.943523,20.837822,12.422898,24.358448
1950-05-30,22.2,20.173891,4.1921763,17.346312,23.00147,13.278375,27.069408
1950-05-31,22.2,20.484749,4.2472234,17.62004,23.349457,13.498688,27.47081
1950-06-01,24.4,20.283245,4.0857224,17.527468,23.039022,13.56283,27.00366
1950-06-02,27.8,20.986221,4.0884295,18.228619,23.743824,14.2613535,27.71109
1950-06-03,28.9,22.223782,4.2082267,19.385376,25.062187,15.301865,29.145699
1950-06-04,30.0,24.424044,4.7371387,21.228891,27.619196,16.632145,32.215942
1950-06-05,28.3,24.949175,4.881168,21.656878,28.241472,16.920368,32.97798
1950-06-06,19.4,25.356483,5.0356507,21.95999,28.752977,17.073574,33.639393
1950-06-07,20.0,24.553894,4.702183,21.38232,27.725468,16.819492,32.288296
1950-06-08,25.0,21.003136,3.7795587,18.453861,23.55241,14.786315,27.219955
1950-06-09,24.4,20.688026,3.6108103,18.252571,23.123482,14.748772,26.627281
1950-06-10,24.4,23.750708,4.3098507,20.843758,26.657658,16.661634,30.83978
1950-06-11,21.7,23.511553,4.354496,20.57449,26.448616,16.349045,30.67406
1950-06-12,13.9,23.640373,4.3650413,20.696198,26.584549,16.46052,30.820227
1950-06-13,16.7,22.429619,3.8801827,19.812475,25.046762,16.047287,28.81195
1950-06-14,18.9,17.919224,3.0678117,15.850017,19.988432,12.873123,22.965324
1950-06-15,18.9,19.115612,3.1747112,16.974302,21.256922,13.893677,24.337547
1950-06-16,18.9,20.508099,3.4549274,18.177786,22.838411,14.825249,26.190948
1950-06-17,22.2,19.94729,3.5553186,17.549265,22.345316,14.099312,25.795269
1950-06-18,22.8,19.98038,3.6621945,17.510267,22.45049,13.956606,26.004152
1950-06-19,17.2,22.10553,4.0320444,19.385958,24.825102,15.473408,28.737652
1950-06-20,17.2,22.415062,4.088775,19.657225,25.1729,15.689625,29.1405
1950-06-21,18.9,19.461523,3.2892902,17.242931,21.680115,14.051123,24.871923
1950-06-22,19.4,19.30321,3.2366302,17.120136,21.486282,13.979426,24.626991
1950-06-23,21.7,20.2315,3.3026614,18.00389,22.459112,14.799107,25.663895
1950-06-24,23.9,20.659462,3.5782986,18.245937,23.072987,14.7736845,26.545238
1950-06-25,22.8,21.319902,3.653578,18.855602,23.784203,15.310301,27.329504
1950-06-26,24.4,22.803394,3.9985662,20.106403,25.500385,16.226337,29.380451
1950-06-27,25.0,21.77056,3.684273,19.285555,24.255564,15.71047,27.830648
1950-06-28,21.1,23.081911,3.9769933,20.39947,25.764353,16.54034,29.623482
1950-06-29,20.6,23.72427,4.103423,20.956553,26.491987,16.97474,30.4738
1950-06-30,22.2,22.218834,3.7702508,19.675838,24.76183,16.017323,28.420345
1950-07-01,13.9,21.825281,3.7534134,19.293642,24.35692,15.651465,27.999096
1950-07-02,15.6,23.186253,3.9884531,20.496082,25.876423,16.625832,29.746674
1950-07-03,18.3,19.166487,3.091518,17.08129,21.251684,14.081392,24.251581
1950-07-04,18.9,19.154324,3.0986047,17.064346,21.2443,14.057572,24.251076
1950-07-05,22.2,19.751593,3.2836099,17.53683,21.966354,14.350534,25.15265
1950-07-06,23.3,20.114244,3.3146951,17.878517,22.349972,14.662056,25.566433
1950-07-07,27.2,21.055632,3.4263244,18.744612,23.366652,15.41983,26.691433
1950-07-08,20.0,21.999361,3.5270913,19.620375,24.378347,16.197811,27.80091
1950-07-09,21.1,23.841707,4.0473747,21.111794,26.57162,17.184368,30.499046
1950-07-10,21.1,19.78799,3.1987786,17.630447,21.945534,14.526468,25.049513
1950-07-11,22.2,21.429008,3.4225373,19.120543,23.737474,15.799436,27.058582
1950-07-12,21.1,21.818115,3.3890302,19.53225,24.103981,16.243656,27.392574
1950-07-13,18.9,21.993366,3.4055479,19.69636,24.290373,16.391739,27.594994
1950-07-14,18.9,21.530342,3.4828134,19.181221,23.879463,15.801624,27.25906
1950-07-15,19.4,21.365288,3.3312452,19.118397,23.612179,15.885878,26.844698
1950-07-16,20.6,20.060415,3.0527866,18.001343,22.119488,15.039028,25.081802
1950-07-17,23.3,21.885767,3.667609,19.412003,24.359531,15.853086,27.918447
1950-07-18,24.4,21.348312,3.2452955,19.159393,23.537231,16.010277,26.686348
1950-07-19,22.2,22.569069,3.5785372,20.155382,24.982756,16.6829,28.455238
1950-07-20,20.0,23.865864,3.7998476,21.302906,26.428822,17.615671,30.116056
1950-07-21,19.4,22.496382,3.5697155,20.088646,24.904118,16.624722,28.368042
1950-07-22,20.0,21.278006,3.240815,19.09211,23.463902,15.94734,26.608671
1950-07-23,18.3,21.002668,3.2252955,18.82724,23.178097,15.697529,26.307808
1950-07-24,21.7,21.286018,3.1618104,19.15341,23.418627,16.085304,26.486732
1950-07-25,22.2,20.53824,3.1897895,18.38676,22.68972,15.291504,25.784977
1950-07-26,22.8,22.331484,3.45005,20.00446,24.658508,16.656656,28.006311
1950-07-27,23.3,22.606106,3.5507646,20.211151,25.00106,16.765617,28.446594
1950-07-28,18.3,22.563364,3.627783,20.11646,25.010267,16.596191,28.530537
1950-07-29,22.2,23.48482,3.8073068,20.91683,26.052809,17.222357,29.747282
1950-07-30,21.1,20.67386,3.1719625,18.534405,22.813316,15.456447,25.891273
1950-07-31,18.9,22.172195,3.5063195,19.807219,24.537172,16.404814,27.939577
1950-08-01,21.7,22.253794,3.4700496,19.91328,24.594307,16.54607,27.961517
1950-08-02,23.9,21.371004,3.3373032,19.120028,23.62198,15.881629,26.860378
1950-08-03,23.3,22.344786,3.449338,20.018242,24.67133,16.67113,28.018442
1950-08-04,25.0,23.5681,3.6925066,21.077541,26.058659,17.494467,29.641733
1950-08-05,25.0,22.986866,3.6525803,20.52324,25.450493,16.978907,28.994825
1950-08-06,23.3,24.646334,3.9261231,21.998203,27.294464,18.188437,31.10423
1950-08-07,22.2,24.031633,4.0258384,21.316246,26.74702,17.409718,30.65355
1950-08-08,22.2,23.609707,3.874634,20.996305,26.223108,17.236502,29.982912
1950-08-09,20.6,22.769625,3.599344,20.341904,25.197346,16.849232,28.690018
1950-08-10,19.4,22.891897,3.7145238,20.38649,25.397305,16.78205,29.001745
1950-08-11,22.8,22.092134,3.347713,19.834137,24.350132,16.585636,27.598633
1950-08-12,21.1,21.328188,3.3274515,19.083857,23.57252,15.855018,26.801357
1950-08-13,18.9,23.03092,3.5221748,20.655249,25.406591,17.237457,28.824383
1950-08-14,18.9,22.013006,3.2567983,19.81633,24.209682,16.65605,27.369963
1950-08-15,16.1,21.134687,3.2598972,18.93592,23.333454,15.772634,26.496742
1950-08-16,18.3,20.551147,3.151535,18.425468,22.676826,15.367334,25.73496
1950-08-17,19.4,19.431177,2.865962,17.498116,21.364239,14.717089,24.145266
1950-08-18,21.1,20.080212,3.061449,18.015295,22.145128,15.044577,25.115847
1950-08-19,23.9,20.350388,3.1591651,18.219563,22.481213,15.154024,25.546751
1950-08-20,23.9,21.55692,3.271912,19.350048,23.76379,16.175102,26.938736
1950-08-21,21.7,22.55957,3.678651,20.078358,25.040783,16.508728,28.610413
1950-08-22,20.0,22.811619,3.5827262,20.395107,25.22813,16.918558,28.70468
1950-08-23,20.6,21.73571,3.522019,19.360146,24.111275,15.942505,27.528915
1950-08-24,21.1,20.75074,3.33889,18.498693,23.002787,15.258755,26.242725
1950-08-25,18.9,21.10164,3.3108234,18.868525,23.334757,15.655821,26.54746
1950-08-26,16.7,21.804777,3.355911,19.54125,24.068304,16.284794,27.32476
1950-08-27,19.4,20.352486,3.0844834,18.272034,22.432938,15.278962,25.42601
1950-08-28,17.8,18.830128,2.71908,16.996136,20.66412,14.357639,23.302616
1950-08-29,18.9,19.578304,2.8581133,17.650536,21.506073,14.877127,24.279482
1950-08-30,20.6,18.666964,2.7750666,16.79521,20.538717,14.1023855,23.23154
1950-08-31,18.9,18.689365,2.7046921,16.865078,20.513653,14.240543,23.138187
1950-09-01,17.2,19.391224,3.0396876,17.340986,21.441462,14.391382,24.391066
1950-09-02,20.6,18.970423,2.817871,17.069798,20.871048,14.335438,23.605408
1950-09-03,19.4,17.973562,2.636424,16.195322,19.751802,13.637031,22.310093
1950-09-04,16.7,20.3171,3.076164,18.24226,22.391941,15.257261,25.37694
1950-09-05,18.3,19.408606,2.9762166,17.401178,21.416033,14.5131645,24.304047
1950-09-06,16.1,17.63453,2.601983,15.8795185,19.38954,13.354649,21.91441
1950-09-07,20.0,18.582396,2.7809012,16.706707,20.458084,14.008221,23.15657
1950-09-08,20.6,18.125269,2.6938934,16.308266,19.942272,13.694208,22.55633
1950-09-09,18.3,18.68978,2.8383708,16.775328,20.60423,14.021074,23.358484
1950-09-10,16.7,19.762629,3.1183898,17.659306,21.865952,14.633333,24.891924
1950-09-11,18.9,18.674166,2.83938,16.759033,20.589298,14.003801,23.34453
1950-09-12,19.4,18.043734,2.7197852,16.209267,19.8782,13.570086,22.517382
1950-09-13,18.3,19.343077,3.0567474,17.281332,21.404821,14.315174,24.37098
1950-09-14,16.1,19.001205,2.964093,17.001955,21.000456,14.125707,23.876705
1950-09-15,16.1,18.792076,2.8989377,16.836773,20.74738,14.023748,23.560404
1950-09-16,16.1,17.602663,2.7322311,15.759801,19.445524,13.108543,22.096783
1950-09-17,16.7,17.436314,2.653238,15.646731,19.225895,13.072125,21.800503
1950-09-18,15.0,16.960707,2.6234796,15.191196,18.730217,12.645467,21.275948
1950-09-19,15.0,17.378565,2.6818104,15.569712,19.187418,12.96738,21.78975
1950-09-20,14.4,16.691036,2.5137084,14.995565,18.386507,12.5563545,20.825718
1950-09-21,15.0,16.521282,2.5406818,14.807618,18.234945,12.342233,20.700333
1950-09-22,16.7,16.233496,2.4208322,14.600669,17.866322,12.251581,20.21541
1950-09-23,15.6,16.076872,2.5719512,14.342117,17.811626,11.846389,20.307354
1950-09-24,13.3,16.950228,2.7111816,15.121564,18.778893,12.49073,21.409725
1950-09-25,16.1,16.35251,2.624711,14.58217,18.12285,12.035245,20.669777
1950-09-26,20.0,15.104488,2.3971984,13.487602,16.721375,11.161448,19.04753
1950-09-27,16.1,16.373198,2.621743,14.604858,18.141537,12.060814,20.685581
1950-09-28,16.1,18.471697,3.1630375,16.33826,20.605133,13.268963,23.67443
1950-09-29,14.4,16.472296,2.7910738,14.5897455,18.354847,11.881388,21.063204
1950-09-30,13.9,15.927744,2.6551478,14.136874,17.718615,11.560414,20.295074
1950-10-01,15.0,14.891105,2.3413708,13.311874,16.470335,11.039892,18.742317
1950-10-02,16.7,14.783431,2.473466,13.115104,16.45176,10.714942,18.851921
1950-10-03,22.2,15.471642,2.4793093,13.799373,17.14391,11.393541,19.549742
1950-10-04,16.1,16.12194,2.7641525,14.257548,17.986334,11.5753145,20.668568
1950-10-05,17.2,18.249016,3.2887115,16.030813,20.467218,12.839567,23.658464
1950-10-06,15.0,15.718736,2.6794024,13.911507,17.525965,11.311511,20.125961
1950-10-07,12.2,16.646414,2.8645675,14.714293,18.578535,11.93462,21.358208
1950-10-08,13.9,15.595411,2.6234152,13.825945,17.364878,11.280277,19.910545
1950-10-09,14.4,14.4307995,2.4454246,12.781385,16.080214,10.408434,18.453165
1950-10-10,17.8,14.854825,2.653071,13.065356,16.644295,10.4909115,19.218739
1950-10-11,15.0,15.330145,2.796631,13.443846,17.216444,10.730097,19.930193
1950-10-12,13.9,15.999151,2.9276118,14.0245075,17.973795,11.183659,20.814644
1950-10-13,15.0,15.040006,2.7254214,13.201736,16.878275,10.557087,19.522924
1950-10-14,16.1,14.528042,2.6838007,12.717846,16.338238,10.113583,18.942501
1950-10-15,15.6,14.520738,2.6057117,12.763212,16.278263,10.234724,18.806751
1950-10-16,18.3,15.133573,2.8158612,13.234303,17.032843,10.501893,19.765251
1950-10-17,14.4,14.792364,2.791991,12.909195,16.675533,10.199947,19.38478
1950-10-18,13.9,16.237078,3.034058,14.190637,18.28352,11.246496,21.22766
1950-10-19,13.3,14.130677,2.6278093,12.358247,15.903108,9.808315,18.45304
1950-10-20,10.6,14.090858,2.6334987,12.31459,15.867126,9.759138,18.422579
1950-10-21,10.6,13.634525,2.5362935,11.923821,15.345229,9.462694,17.806356
1950-10-22,11.7,12.341431,2.5583024,10.615882,14.066979,8.133398,16.549463
1950-10-23,11.7,12.416574,2.5803132,10.676179,14.156968,8.172337,16.66081
1950-10-24,8.9,12.478136,2.590353,10.730969,14.225303,8.217384,16.738888
1950-10-25,6.1,12.386709,2.5547435,10.663561,14.109858,8.18453,16.588888
1950-10-26,7.2,10.650622,2.5778468,8.911891,12.389354,6.410442,14.890802
1950-10-27,8.9,9.149735,2.8078,7.2559032,11.043568,4.5313153,13.768156
1950-10-28,8.3,9.063347,2.6321688,7.2879763,10.838717,4.7338147,13.3928795
1950-10-29,7.8,9.909038,2.8840902,7.9637485,11.854327,5.1651316,14.652944
1950-10-30,10.0,9.577326,2.8019543,7.6874366,11.467216,4.968521,14.186131
1950-10-31,9.4,9.286747,2.6808603,7.478534,11.094959,4.8771243,13.696369
1950-11-01,10.0,10.069998,2.6760402,8.265036,11.87496,5.6683035,14.471692
1950-11-02,9.4,9.624434,2.6075556,7.865665,11.3832035,5.335387,13.913482
1950-11-03,8.9,10.336845,2.4871266,8.659304,12.014387,6.2458863,14.427805
1950-11-04,8.3,10.177659,2.6292624,8.404248,11.95107,5.852907,14.502411
1950-11-05,9.4,9.655391,2.6133008,7.892746,11.4180355,5.3568935,13.953888
1950-11-06,11.7,9.027918,2.6725223,7.225329,10.830506,4.63201,13.423826
1950-11-07,11.7,9.749984,2.6599414,7.9558806,11.544086,5.3747697,14.125198
1950-11-08,10.6,10.668776,2.8214624,8.765728,12.571823,6.027883,15.309668
1950-11-09,11.7,10.7892065,2.8917618,8.838743,12.73967,6.032682,15.545731
1950-11-10,8.9,10.482144,2.6377294,8.703023,12.261266,6.1434655,14.820824
1950-11-11,9.4,11.17951,2.710801,9.351103,13.007917,6.7206397,15.63838
1950-11-12,8.3,9.618038,2.8131328,7.7206087,11.515468,4.9908466,14.24523
1950-11-13,7.2,9.814428,2.722635,7.978039,11.650818,5.3360925,14.292765
1950-11-14,6.1,8.904263,2.5952961,7.153762,10.654763,4.6353803,13.173145
1950-11-15,8.9,8.008954,2.6622071,6.2133226,9.804585,3.630013,12.387896
1950-11-16,9.4,7.5021725,2.826186,5.595939,9.408406,2.8535104,12.150835
1950-11-17,7.8,8.263037,2.654057,6.4729023,10.053171,3.8975015,12.628572
1950-11-18,9.4,8.732312,2.7253954,6.894061,10.570563,4.249436,13.215189
1950-11-19,6.7,8.085153,2.7487862,6.2311244,9.93918,3.5638018,12.6065035
1950-11-20,7.8,8.796286,2.5975204,7.044285,10.548286,4.523745,13.068827
1950-11-21,7.8,7.2241793,2.7007086,5.4025793,9.045779,2.781909,11.66645
1950-11-22,7.2,7.495668,2.6335838,5.7193427,9.271994,3.1638083,11.827528
1950-11-23,0.0,7.854978,2.6502721,6.0673966,9.642559,3.4956684,12.214288
1950-11-25,13.3,8.128505,2.8828597,6.1840453,10.072964,3.3866224,12.870387
1950-11-26,13.3,4.24279,3.5863104,1.8238606,6.66172,-1.6561651,10.141746
1950-11-27,7.8,10.720146,3.2939665,8.4984,12.941893,5.3020535,16.138239
1950-11-28,10.6,9.726385,3.0776532,7.6505394,11.802231,4.6640964,14.788673
1950-11-29,10.6,8.079894,2.839698,6.164547,9.995241,3.4090066,12.750782
1950-11-30,0.6,9.196652,2.884004,7.251421,11.141884,4.452888,13.940416
1950-12-04,6.7,8.524069,2.785377,6.6453605,10.402777,3.9425316,13.105606
1950-12-05,8.3,4.980571,3.45839,2.6479223,7.313219,-0.70797443,10.669116
1950-12-06,7.2,7.3771663,3.3833957,5.0951004,9.659232,1.811976,12.942356
